,Exempt Supply Ratio
V01,0.0
V02,0.0
V03,0.0
VB,0.0
V10_12,0.0
V13_15,0.0
V16,0.0
V17,0.0
V18,0.0
V19,0.0
V20,0.0
V21,0.0
V22,0.0
V23,0.0
V24,0.0
V25,0.0
V26,0.0
V27,0.0
V28,0.0
V29,0.0
V30,0.0
V31_32,0.0
V33,0.0
VD,0.0
V36,0.0
V37_39,0.0
VF,0.0
V45,0.0
V46,0.0
V47,0.0
V49,0.0
V50,0.0
V51,0.0
V52,0.0
V53,0.0
VI,0.0
V58,0.0
V59_60,0.0
V61,0.0
V62_63,0.0
V64,0.0
V65,0.0
V66,0.0
V68B,0.0
V68A,0.0
V69_70,0.0
V71,0.0
V72,0.0
V73,0.0
V74_75,0.0
V77,0.0
V78,0.0
V79,0.0
V80_82,0.0
VO,0.0
VP,0.0
V86,0.0
V87_88,0.0
V90_92,0.0
V93,0.0
V94,0.0
V95,0.0
V96,0.0
VT,0.0
VU,0.0
